RTRW,unique_id,Freq,NEW_ID,Peat_F,PIAPS_F,Konsesi_F,REFERENCE,IDS,cek1,cek2,cek3,reconcile1,reconcile_attr,reconcile_attr2,Rec_phase1,Rec_phase1b,ID_rec
1,1,30207,1,0,0,0,Kawasan Konservasi,1,0,0,0,0,Kawasan Konservasi,100,Kawasan Konservasi,Kawasan Konservasi,1
1,100001,112,15,0,1,0,Kawasan Konservasi,1,0,1,0,1,unresolved,2,PIAPS_F,unresolved_case,2
1,7000001,41,24,0,0,2,Kawasan Konservasi,1,0,0,0,0,Kawasan Konservasi,100,Kawasan Konservasi,Kawasan Konservasi,3
2,7000002,287,25,0,0,2,Kawasan Lindung,1,0,0,0,0,Kawasan Lindung,100,Kawasan Lindung,Kawasan Lindung,4
2,100002,1,16,0,1,0,Kawasan Lindung,1,0,1,0,1,unresolved,2,PIAPS_F,unresolved_case,5
2,2,1888,2,0,0,0,Kawasan Lindung,1,0,0,0,0,Kawasan Lindung,100,Kawasan Lindung,Kawasan Lindung,6
3,7000903,3,30,1,0,2,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,1,0,0,1,1,unresolved,3,Peat_F,unresolved_case,7
3,100003,1686,17,0,1,0,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,1,0,1,0,1,unresolved,2,PIAPS_F,unresolved_case,8
3,100903,144,21,1,1,0,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,1,0,1,1,2,unresolved,100,unresolved,unresolved_case,9
3,3,7852,3,0,0,0,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,1,0,0,0,0,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,100,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,10
3,903,1285,11,1,0,0,Kawasan yang Memberikan Perlindungan Terhadap Kawasan Bawahannya,1,0,0,1,1,unresolved,3,Peat_F,unresolved_case,11
4,4,560,4,0,0,0,Kawasan Ekosistem Mangrove,1,0,0,0,0,Kawasan Ekosistem Mangrove,100,Kawasan Ekosistem Mangrove,Kawasan Ekosistem Mangrove,5
4,100004,1,18,0,1,0,Kawasan Ekosistem Mangrove,1,0,1,0,1,unresolved,2,PIAPS_F,unresolved_case,6
7,100007,32966,19,0,1,0,Hutan Produksi,2,0,0,0,0,Hutan Produksi,100,Hutan Produksi,Hutan Produksi,7
7,100907,25725,22,1,1,0,Hutan Produksi,2,0,0,0,0,Hutan Produksi,100,Hutan Produksi,Hutan Produksi,15
7,7,47988,5,0,0,0,Hutan Produksi,2,0,0,0,0,Hutan Produksi,100,Hutan Produksi,Hutan Produksi,16
7,7100007,168,33,0,1,2,Hutan Produksi,2,1,0,0,1,unresolved,1,Konsesi_F,unresolved_case,17
7,7000007,2266,26,0,0,2,Hutan Produksi,2,1,0,0,1,unresolved,1,Konsesi_F,unresolved_case,18
7,7100907,196,35,1,1,2,Hutan Produksi,2,1,0,0,1,unresolved,1,Konsesi_F,unresolved_case,5
7,7000907,43,31,1,0,2,Hutan Produksi,2,1,0,0,1,unresolved,1,Konsesi_F,unresolved_case,6
7,907,83376,12,1,0,0,Hutan Produksi,2,0,0,0,0,Hutan Produksi,100,Hutan Produksi,Hutan Produksi,21
8,100908,9,23,1,1,0,Pertanian,2,0,0,0,0,Pertanian,100,Pertanian,Pertanian,5
8,8,176589,6,0,0,0,Pertanian,2,0,0,0,0,Pertanian,100,Pertanian,Pertanian,6
8,100008,150,20,0,1,0,Pertanian,2,0,0,0,0,Pertanian,100,Pertanian,Pertanian,1
8,7100008,4,34,0,1,2,Pertanian,2,1,0,0,1,unresolved,1,Konsesi_F,unresolved_case,2
8,7000008,39259,27,0,0,2,Pertanian,2,1,0,0,1,unresolved,1,Konsesi_F,unresolved_case,26
8,7100908,5,36,1,1,2,Pertanian,2,1,0,0,1,unresolved,1,Konsesi_F,unresolved_case,27
8,7000908,21014,32,1,0,2,Pertanian,2,1,0,0,1,unresolved,1,Konsesi_F,unresolved_case,7
8,908,51277,13,1,0,0,Pertanian,2,0,0,0,0,Pertanian,100,Pertanian,Pertanian,10
9,9,9518,7,0,0,0,Permukiman,3,0,0,0,0,Permukiman,100,Permukiman,Permukiman,30
9,909,1472,14,1,0,0,Permukiman,3,0,0,0,0,Permukiman,100,Permukiman,Permukiman,31
9,7000009,18,28,0,0,2,Permukiman,3,0,0,0,0,Permukiman,100,Permukiman,Permukiman,32
12,12,7,8,0,0,0,Pertambangan dan Energi,2,0,0,0,0,Pertambangan dan Energi,100,Pertambangan dan Energi,Pertambangan dan Energi,33
15,15,858,9,0,0,0,Perikanan,2,0,0,0,0,Perikanan,100,Perikanan,Perikanan,34
16,7000016,443,29,0,0,2,Badan Air,3,0,0,0,0,Badan Air,100,Badan Air,Badan Air,35
16,16,7674,10,0,0,0,Badan Air,3,0,0,0,0,Badan Air,100,Badan Air,Badan Air,36
