Value,Class,FocalArea,color_palette
0,No data,0,#ffffff
1,Primary Forest,1,#005500
2,High-density logged forest,0,#006f00
3,Low-density logged forest,0,#007f00
4,Primary Swamp Forest,0,#5500ff
5,Logged over swamp Forest,0,#ff00ff
10,Rubber agroforestry,0,#ff0000
11,Coconut/betelnut  agroforestry,0,#ffaa7f
12,Cinnamon agroforestry,0,#aaff7f
13,Coffee agroforestry,0,#ff55ff
14,Mixed garden,0,#ff0000
15,Acacia plantation,0,#ff0000
16,Rubber monoculture,0,#ff007f
17,Oil palm,0,#55aa7f
19,Shrubland,0,#ff5500
20,Agricultural land,0,#ffff00
21,Rice field,0,#55ff7f
22,Tea plantation,0,#ff00ff
23,Grassland,0,#00557f
24,Open land,0,#9b9b9b
25,Settlement,0,#aaffff
42,Water,0,#00007f
43,Cinnamon monoculture,0,#ffaa00
