name_common,name_sp,class,name_parameter,value,unit
padi irigasi,Oryza sativa,S1,clim_humidity,33-90,%
padi irigasi,Oryza sativa,S2,clim_humidity,30-33,%
padi irigasi,Oryza sativa,S3,clim_humidity,30<,%
padi irigasi,Oryza sativa,S3,clim_humidity,>90,%
padi irigasi,Oryza sativa,S1,clim_temperature_avg,24-29,°C
padi irigasi,Oryza sativa,S2,clim_temperature_avg,22-24,°C
padi irigasi,Oryza sativa,S2,clim_temperature_avg,29-32,°C
padi irigasi,Oryza sativa,S3,clim_temperature_avg,18-22,°C
padi irigasi,Oryza sativa,S3,clim_temperature_avg,32-35,°C
padi irigasi,Oryza sativa,N,clim_temperature_avg,18<,°C
padi irigasi,Oryza sativa,N,clim_temperature_avg,>35,°C
padi irigasi,Oryza sativa,S1,soil_base_saturation,>50,%
padi irigasi,Oryza sativa,S2,soil_base_saturation,35-50,%
padi irigasi,Oryza sativa,S3,soil_base_saturation,35<,%
padi irigasi,Oryza sativa,S1,soil_cec,>16,cmol
padi irigasi,Oryza sativa,S2,soil_cec,5-16,cmol
padi irigasi,Oryza sativa,S3,soil_cec,5<,cmol
padi irigasi,Oryza sativa,S1,soil_coarse_fragments,3<,%
padi irigasi,Oryza sativa,S2,soil_coarse_fragments,3-15,%
padi irigasi,Oryza sativa,S3,soil_coarse_fragments,15-35,%
padi irigasi,Oryza sativa,N,soil_coarse_fragments,>35,%
padi irigasi,Oryza sativa,S1,soil_depth,>50,cm
padi irigasi,Oryza sativa,S2,soil_depth,40-50,cm
padi irigasi,Oryza sativa,S3,soil_depth,25-40,cm
padi irigasi,Oryza sativa,N,soil_depth,25<,cm
padi irigasi,Oryza sativa,S1,soil_drainage,agakterhambat;sedang,unitless
padi irigasi,Oryza sativa,S2,soil_drainage,terhambat;baik,unitless
padi irigasi,Oryza sativa,S3,soil_drainage,sangatterhambat;agakcepat,unitless
padi irigasi,Oryza sativa,N,soil_drainage,cepat,unitless
padi irigasi,Oryza sativa,S2,soil_erosion_risk,0.15<,unitless
padi irigasi,Oryza sativa,S3,soil_erosion_risk,0.15-0.9,unitless
padi irigasi,Oryza sativa,N,soil_erosion_risk,0.9-1.8,unitless
padi irigasi,Oryza sativa,N,soil_erosion_risk,1.8-4.8,unitless
padi irigasi,Oryza sativa,S1,soil_esp,20<,%
padi irigasi,Oryza sativa,S2,soil_esp,20-30,%
padi irigasi,Oryza sativa,S3,soil_esp,30-40,%
padi irigasi,Oryza sativa,N,soil_esp,>40,%
padi irigasi,Oryza sativa,S1,soil_flood_height,25,cm
padi irigasi,Oryza sativa,S2,soil_flood_height,25-50,cm
padi irigasi,Oryza sativa,S3,soil_flood_height,50-75,cm
padi irigasi,Oryza sativa,N,soil_flood_height,>75,cm
padi irigasi,Oryza sativa,S1,soil_flood_length,tanpa,hari
padi irigasi,Oryza sativa,S2,soil_flood_length,7<,hari
padi irigasi,Oryza sativa,S3,soil_flood_length,7-14,hari
padi irigasi,Oryza sativa,N,soil_flood_length,>14,hari
padi irigasi,Oryza sativa,S1,soil_k2o,>20,mg/100 g
padi irigasi,Oryza sativa,S2,soil_k2o,10-20,mg/100 g
padi irigasi,Oryza sativa,S3,soil_k2o,10<,mg/100 g
padi irigasi,Oryza sativa,S1,soil_nitrogen,>0.2,%
padi irigasi,Oryza sativa,S2,soil_nitrogen,0.10-0.20,%
padi irigasi,Oryza sativa,S3,soil_nitrogen,0.10<,%
padi irigasi,Oryza sativa,S1,soil_organic_c,>1.2,%
padi irigasi,Oryza sativa,S2,soil_organic_c,0.8-1.2,%
padi irigasi,Oryza sativa,S3,soil_organic_c,0.8<,%
padi irigasi,Oryza sativa,S1,soil_outcrop,5<,%
padi irigasi,Oryza sativa,S2,soil_outcrop,5-15,%
padi irigasi,Oryza sativa,S3,soil_outcrop,15-25,%
padi irigasi,Oryza sativa,N,soil_outcrop,>25,%
padi irigasi,Oryza sativa,S1,soil_p2o5,>40,mg/100 g
padi irigasi,Oryza sativa,S2,soil_p2o5,21-40,mg/100 g
padi irigasi,Oryza sativa,S3,soil_p2o5,15-20,mg/100 g
padi irigasi,Oryza sativa,S3,soil_p2o5,15<,mg/100 g
padi irigasi,Oryza sativa,S1,soil_peat_depth,50<,cm
padi irigasi,Oryza sativa,S2,soil_peat_depth,50-100,cm
padi irigasi,Oryza sativa,S3,soil_peat_depth,100-150,cm
padi irigasi,Oryza sativa,N,soil_peat_depth,>150,cm
padi irigasi,Oryza sativa,S1,soil_peat_maturity,saprik,unitless
padi irigasi,Oryza sativa,S2,soil_peat_maturity,saprik;hemik,unitless
padi irigasi,Oryza sativa,S3,soil_peat_maturity,hemik,unitless
padi irigasi,Oryza sativa,N,soil_peat_maturity,fibrik,unitless
padi irigasi,Oryza sativa,S1,soil_ph,5.5-7.0,unitless
padi irigasi,Oryza sativa,S2,soil_ph,4.5-5.5,unitless
padi irigasi,Oryza sativa,S2,soil_ph,7.0-8.0,unitless
padi irigasi,Oryza sativa,S3,soil_ph,4>.5,unitless
padi irigasi,Oryza sativa,S3,soil_ph,>8.0,unitless
padi irigasi,Oryza sativa,S1,soil_salinity,2<,dS/m
padi irigasi,Oryza sativa,S2,soil_salinity,2-4,dS/m
padi irigasi,Oryza sativa,S3,soil_salinity,4-6,dS/m
padi irigasi,Oryza sativa,N,soil_salinity,>6,dS/m
padi irigasi,Oryza sativa,S1,soil_slope,3<,%
padi irigasi,Oryza sativa,S2,soil_slope,3-5,%
padi irigasi,Oryza sativa,S3,soil_slope,5-8,%
padi irigasi,Oryza sativa,N,soil_slope,>8,%
padi irigasi,Oryza sativa,S1,soil_sulfidic_depth,>100,cm
padi irigasi,Oryza sativa,S2,soil_sulfidic_depth,75-100,cm
padi irigasi,Oryza sativa,S3,soil_sulfidic_depth,40-75,cm
padi irigasi,Oryza sativa,N,soil_sulfidic_depth,40<,cm
padi irigasi,Oryza sativa,S1,soil_surface_rocks,5<,%
padi irigasi,Oryza sativa,S2,soil_surface_rocks,5-15,%
padi irigasi,Oryza sativa,S3,soil_surface_rocks,15-40,%
padi irigasi,Oryza sativa,N,soil_surface_rocks,>40,%
padi irigasi,Oryza sativa,S1,soil_texture,h_ah,unitless
padi irigasi,Oryza sativa,S2,soil_texture,s,unitless
padi irigasi,Oryza sativa,S3,soil_texture,ak,unitless
padi irigasi,Oryza sativa,N,soil_texture,k,unitless
